Latitud,Longitud
6.780,-73.113
6.755,-73.103
6.761,-73.192
6.793,-73.207
6.915,-73.493
6.828,-73.369
6.708,-73.238
6.807,-73.153
6.799,-73.155
6.453,-73.760
6.775,-73.156
6.777,-73.133
6.745,-73.132
6.800,-73.112
6.782,-73.128
6.761,-73.193
6.727,-73.190
6.767,-73.161
6.785,-73.174
6.806,-73.203
6.754,-73.083
6.777,-73.112
6.803,-73.139
6.737,-73.152
6.786,-73.132
6.787,-73.156
6.701,-73.202
6.742,-73.103
6.685,-73.226
6.809,-73.103
5.735,-74.021
6.775,-73.162
6.810,-73.171
7.061,-73.792
6.461,-73.000
6.797,-73.186
6.813,-73.143
6.400,-73.687
6.885,-73.284
6.788,-73.130
6.794,-73.122
6.787,-73.150
6.780,-73.106
6.786,-73.117
6.738,-73.103
6.761,-73.155
6.773,-73.124
6.757,-72.944
6.835,-73.201
6.481,-73.599
6.786,-73.173
6.834,-73.180
7.419,-73.058
6.725,-73.158
6.788,-73.158
6.750,-73.186
6.842,-73.184
6.775,-73.130
6.853,-72.974
6.817,-73.108
6.800,-73.175
6.795,-73.292
6.781,-73.103
6.831,-73.136
6.830,-73.163
6.784,-73.106
6.554,-73.594
6.849,-73.020
6.810,-73.176
6.819,-73.127
6.824,-73.149
6.812,-73.141
6.781,-73.174
6.799,-73.158
6.564,-73.511
6.774,-73.157
6.807,-73.141
6.792,-73.150
6.738,-73.130
6.724,-73.134
6.764,-73.079
6.822,-73.151
6.277,-73.606
6.484,-73.592
6.813,-73.160
6.760,-73.147
6.799,-73.136
6.743,-73.122
6.795,-73.168
6.797,-73.178
6.795,-73.077
6.833,-73.055
6.770,-73.112
6.849,-73.193
6.796,-73.085
6.822,-73.109
6.779,-73.057
6.834,-73.188
6.806,-73.110
6.793,-73.136
6.819,-73.119
6.728,-73.180
6.793,-73.139
6.817,-73.092
6.813,-73.293
6.777,-73.171
6.119,-73.916
6.798,-73.150
6.832,-73.037
6.769,-73.197
6.564,-73.441
